epoch,channel,pMP
0,1,21.157288541265817
0,2,20.893831964954742
0,3,20.473616039999268
0,4,20.30242531896378
0,5,20.135406700225502
0,6,19.9778185387287
0,7,19.924192983851558
0,8,21.41925948290251
0,9,21.107756761028682
0,10,20.854035385390752
1,1,20.99669986891435
1,2,20.649630267434745
1,3,20.04321010906773
1,4,19.807187073522524
1,5,19.62447574693122
1,6,19.571882502857893
1,7,19.854711644424324
1,8,21.192494961126645
1,9,20.566077603073047
1,10,20.224380545198734
2,1,20.802360452709856
2,2,20.412296643748988
2,3,19.95525855249662
2,4,19.798201103027555
2,5,19.745634643392282
2,6,19.821109485169476
2,7,20.039413055689856
2,8,20.920975564618228
2,9,20.578352559660207
2,10,20.138654351269302
3,1,21.8053657958962
3,2,21.563617683222933
3,3,21.36896185956644
3,4,21.123445674950315
3,5,20.875369363447884
3,6,20.788957887365918
3,7,20.877258036539736
3,8,21.890914930037745
3,9,21.7142939928488
3,10,21.641824527274043
4,1,21.68059884613948
4,2,21.59480627080785
4,3,21.52927302319636
4,4,21.30471351218397
4,5,20.897379709792478
4,6,20.787040396454557
4,7,21.009814306484728
4,8,21.80718030399725
4,9,21.69353313818115
4,10,21.711054897615647
5,1,21.77509429813732
5,2,21.6590144343143
5,3,21.608084741209108
5,4,21.386123759135057
5,5,21.210546159396042
5,6,21.228952280971054
5,7,21.361881313688237
5,8,21.83655586903183
5,9,21.7736768139321
5,10,21.733381672815636
6,1,21.92405596709216
6,2,21.919857137850094
6,3,21.922755538974965
6,4,21.824552563817736
6,5,21.63588179700777
6,6,21.576164683589067
6,7,21.593133008137528
6,8,21.977570414581823
6,9,21.964983350849543
6,10,21.982451848144084
7,1,20.81454505325437
7,2,20.559322393638322
7,3,20.55915424953491
7,4,20.262973128102693
7,5,20.29329253997095
7,6,20.52013721386231
7,7,20.757291439063337
7,8,21.007996556802944
7,9,20.96560732345118
7,10,20.793565007812372
8,1,21.8647692493906
8,2,21.88263999591088
8,3,21.958399061849423
8,4,21.89409766795954
8,5,21.604979069976295
8,6,21.587256515969095
8,7,21.678461257597423
8,8,22.021919778909982
8,9,21.981135170751596
8,10,21.989739855283567
9,1,21.940780415937
9,2,21.912453674289313
9,3,21.917769933913732
9,4,21.75095205410735
9,5,21.602194464422688
9,6,21.56538840527067
9,7,21.695595683825943
9,8,22.00780904997056
9,9,22.002966609717966
9,10,21.965412429741917
10,1,21.908235586912035
10,2,21.923628650602826
10,3,21.93656904332982
10,4,21.806894998438214
10,5,21.570483392484604
10,6,21.536842607422688
10,7,21.610765833885264
10,8,21.983257187128586
10,9,21.97614291367617
10,10,21.983684702194406
11,1,21.904074283217035
11,2,21.92923178610515
11,3,21.942688372900164
11,4,21.867513168861905
11,5,21.636610805261768
11,6,21.643970651936165
11,7,21.636111594309373
11,8,21.96543651332625
11,9,21.962763915413067
11,10,21.943616391199853
